,mu_solar(kW/m^2),sigma_solar(kW/m^2),s_h_max,s_h_min,P_solar_max,P_solar_min
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0.0983,0.0307,0.129,0.0676,0.1301114059024975,0.068182815
6,0.238,0.1264,0.3644,0.11159999999999998,0.3675311673810886,0.11256168410983954
7,0.4094,0.17,0.5794,0.23939999999999997,0.5843664804661645,0.24145999327385326
8,0.5607,0.1923,0.753,0.36839999999999995,0.7594418308184053,0.37156539479008344
9,0.6636,0.2203,0.8838999999999999,0.44329999999999997,0.8914504176074277,0.4471057285238698
10,0.6949,0.2216,0.9165,0.47329999999999994,0.9243259875056133,0.4773618980499492
11,0.6841,0.2128,0.8969,0.47130000000000005,0.904560332,0.475344826
12,0.5894,0.1838,0.7732,0.40560000000000007,0.7798131211901267,0.4090835606990682
13,0.4349,0.1564,0.5913,0.27849999999999997,0.5963678004194116,0.28089538304570016
14,0.2596,0.1103,0.3699,0.1493,0.3730782292664383,0.15058600692938706
15,0.1039,0.0316,0.1355,0.0723,0.13666732135523244,0.072923303
16,0.103,0.03,0.133,0.073,0.13414581638400036,0.073629333
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
